Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
CHANGIS-SAINT-JEAN;87116509;SAM;2023-09-16;2023;P;P;De 16h à 20h;46
MOUROUX;87116285;SAM;2023-11-18;2023;P;P;Après 20h;1
LONGUEVILLE;87116137;DIM;2023-11-19;2023;P;P;Après 20h;62
CHANGIS-SAINT-JEAN;87116509;DIM;2023-09-17;2023;P;P;Après 20h;7
MOUROUX;87116285;SAM;2023-11-18;2023;P;P;De 6h à 10h;19
LONGUEVILLE;87116137;JOB;2023-11-14;2023;P;P;De 16h à 20h;259
CHANTELOUP-LES-VIGNES;87381475;SAM;2023-11-18;2023;J;J6;Après 20h;51
MOUROUX;87116285;DIM;2023-11-19;2023;P;P;De 6h à 10h;10
LOUVECIENNES;87382457;DIM;2023-11-19;2023;L;L2;De 10h à 16h;262
CHANTELOUP-LES-VIGNES;87381475;SAM;2023-11-18;2023;J;J6;Avant 6h;23
MOUROUX;87116285;JOB;2023-11-14;2023;P;P;Après 20h;3
LOUVECIENNES;87382457;JOB;2023-11-14;2023;L;L2;Avant 6h;21
CHANTELOUP-LES-VIGNES;87381475;SAM;2023-11-18;2023;J;J6;De 10h à 16h;439
MOUROUX;87116285;JOB;2023-11-14;2023;P;P;De 6h à 10h;119
LOUVRES;87276253;SAM;2024-02-03;2024;D;D;Avant 6h;48
CHANTELOUP-LES-VIGNES;87381475;DIM;2023-11-19;2023;J;J6;Après 20h;31
MUSEE-D'ORSAY;87547307;SAM;2017-04-22;2017;C;C;Après 20h;544
LOUVRES;87276253;DIM;2024-03-03;2024;D;D;De 10h à 16h;591
CHANTILLY-GOUVIEUX;87276113;SAM;2024-02-03;2024;D;D;De 16h à 20h;70
MUSEE-D'ORSAY;87547307;SAM;2017-04-22;2017;C;C;Avant 6h;13
LOUVRES;87276253;DIM;2024-03-03;2024;D;D;De 16h à 20h;375
CHANTILLY-GOUVIEUX;87276113;DIM;2024-03-03;2024;D;D;Après 20h;19
MUSEE-D'ORSAY;87547307;JOB;2017-04-25;2017;C;C;De 10h à 16h;2530
LOUVRES;87276253;JOB;2024-05-03;2024;D;D;De 16h à 20h;907
CHANTILLY-GOUVIEUX;87276113;DIM;2024-03-03;2024;D;D;De 6h à 10h;34
MUSEE-D'ORSAY;87547307;JOB;2017-04-25;2017;C;C;De 16h à 20h;4648
LUZARCHES;87276576;SAM;2023-11-18;2023;H;H;Après 20h;57
CHANTILLY-GOUVIEUX;87276113;JOB;2024-05-03;2024;D;D;Avant 6h;24
NANGIS;87116095;SAM;2023-11-18;2023;P;P;Après 20h;41
LUZARCHES;87276576;SAM;2023-11-18;2023;H;H;De 10h à 16h;170
CHANTILLY-GOUVIEUX;87276113;JOB;2024-05-03;2024;D;D;De 6h à 10h;21
NANGIS;87116095;SAM;2023-11-18;2023;P;P;De 6h à 10h;219
LUZARCHES;87276576;DIM;2023-11-19;2023;H;H;Avant 6h;5
CHAPONVAL;87276162;SAM;2023-11-18;2023;H;H;De 16h à 20h;15
NANGIS;87116095;DIM;2023-11-19;2023;P;P;De 10h à 16h;275
LUZARCHES;87276576;DIM;2023-11-19;2023;H;H;De 16h à 20h;157
CHARS;87381194;SAM;2023-11-18;2023;J;J6;De 16h à 20h;46
NANGIS;87116095;DIM;2023-11-19;2023;P;P;De 16h à 20h;179
LUZARCHES;87276576;JOB;2023-11-14;2023;H;H;De 6h à 10h;337
CHARS;87381194;DIM;2023-11-19;2023;J;J6;De 10h à 16h;39
NANGIS;87116095;JOB;2023-11-14;2023;P;P;Après 20h;35
LYCEE-HENRI-SELLIER;87988717;SAM;2021-09-18;2021;T4;T4;Avant 6h;9
CHARTRETTES;87682419;JOB;2023-11-14;2023;R;R;Avant 6h;3
NANGIS;87116095;JOB;2023-11-14;2023;P;P;De 6h à 10h;871
LYCEE-HENRI-SELLIER;87988717;SAM;2021-09-18;2021;T4;T4;De 6h à 10h;228
CHARTRETTES;87682419;JOB;2023-11-14;2023;R;R;De 10h à 16h;26
NANTERRE-UNIVERSITE;87386318;SAM;2023-11-18;2023;L;L3;Après 20h;682
LYCEE-HENRI-SELLIER;87988717;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;338
CHATEAU-THIERRY;87116582;SAM;2023-09-16;2023;P;P;Avant 6h;43
NANTERRE-UNIVERSITE;87386318;DIM;2023-11-19;2023;L;L3;Avant 6h;23
LYCEE-HENRI-SELLIER;87988717;DIM;2021-12-09;2021;T4;T4;De 16h à 20h;171
CHATEAU-THIERRY;87116582;SAM;2023-09-16;2023;P;P;De 6h à 10h;322
NANTEUIL-SAACY;87116558;SAM;2023-09-16;2023;P;P;Avant 6h;15
LYCEE-HENRI-SELLIER;87988717;DIM;2021-12-09;2021;T4;T4;De 6h à 10h;77
CHATEAU-THIERRY;87116582;JOB;2023-09-19;2023;P;P;De 10h à 16h;251
NANTEUIL-SAACY;87116558;DIM;2023-09-17;2023;P;P;De 10h à 16h;212
MAGENTA;87281873;DIM;2022-03-20;2022;E;E;Avant 6h;137
CHATELET-LES-HALLES;87758607;DIM;2024-03-03;2024;D;D;Après 20h;5406
NANTEUIL-SAACY;87116558;DIM;2023-09-17;2023;P;P;De 16h à 20h;193
MAGENTA;87281873;DIM;2022-03-20;2022;E;E;De 10h à 16h;8114
CHATELET-LES-HALLES;87758607;JOB;2024-05-03;2024;D;D;De 16h à 20h;34555
NEMOURS-SAINT-PIERRE;87684126;SAM;2023-11-18;2023;R;R;De 10h à 16h;565
MAGENTA;87281873;DIM;2022-03-20;2022;E;E;De 16h à 20h;8989
CHAUMONT-EN-VEXIN;87381228;SAM;2023-11-18;2023;J;J6;De 6h à 10h;31
NEMOURS-SAINT-PIERRE;87684126;DIM;2023-11-19;2023;R;R;De 16h à 20h;514
MAGENTA;87281873;JOB;2022-03-22;2022;E;E;De 16h à 20h;20010
CHAUMONT-EN-VEXIN;87381228;JOB;2023-11-14;2023;J;J6;Avant 6h;36
NEMOURS-SAINT-PIERRE;87684126;JOB;2023-11-14;2023;R;R;Après 20h;42
MAISONS-ALFORT-ALFORTVILLE;87681155;SAM;2024-02-03;2024;D;D;De 10h à 16h;5666
CHAUMONT-EN-VEXIN;87381228;JOB;2023-11-14;2023;J;J6;De 16h à 20h;43
NEMOURS-SAINT-PIERRE;87684126;JOB;2023-11-14;2023;R;R;De 16h à 20h;340
MAISONS-ALFORT-ALFORTVILLE;87681155;SAM;2024-02-03;2024;D;D;De 6h à 10h;2641
CHAVILLE-RIVE-DROITE;87382333;SAM;2016-12-03;2016;U;U;De 10h à 16h;178
NEMOURS-SAINT-PIERRE;87684126;JOB;2023-11-14;2023;R;R;De 6h à 10h;727
MAISONS-ALFORT-ALFORTVILLE;87681155;JOB;2024-05-03;2024;D;D;De 16h à 20h;7167
CHAVILLE-RIVE-DROITE;87382333;SAM;2016-12-03;2016;U;U;De 16h à 20h;97
NEUILLY-PORTE-MAILLOT;87381020;SAM;2017-04-22;2017;C;C;De 6h à 10h;332
MAISONS-ALFORT-ALFORTVILLE;87681155;JOB;2024-05-03;2024;D;D;De 6h à 10h;9767
CHAVILLE-RIVE-DROITE;87382333;SAM;2016-12-03;2016;U;U;De 6h à 10h;50
NEUILLY-PORTE-MAILLOT;87381020;JOB;2017-04-25;2017;C;C;Avant 6h;22
MAISONS-LAFFITTE;87386425;SAM;2022-11-19;2022;A;A;De 6h à 10h;1230
CHAVILLE-RIVE-DROITE;87382333;SAM;2023-11-18;2023;L;L2;De 10h à 16h;796
NEUVILLE-UNIVERSITE;87334482;SAM;2022-11-19;2022;A;A;Avant 6h;39
MAISONS-LAFFITTE;87386425;DIM;2022-11-20;2022;A;A;Après 20h;495
CHAVILLE-RIVE-DROITE;87382333;DIM;2016-03-13;2016;U;U;De 10h à 16h;97
NEUVILLE-UNIVERSITE;87334482;SAM;2022-11-19;2022;A;A;De 16h à 20h;553
MAISONS-LAFFITTE;87386425;DIM;2023-11-19;2023;L;L3;Avant 6h;16
CHAVILLE-RIVE-DROITE;87382333;DIM;2023-11-19;2023;L;L2;De 16h à 20h;422
NEZEL-AULNAY;87381731;SAM;2023-11-18;2023;N;N;De 6h à 10h;17
MAISONS-LAFFITTE;87386425;DIM;2023-11-19;2023;L;L3;De 6h à 10h;87
CHAVILLE-RIVE-DROITE;87382333;JOB;2016-03-15;2016;U;U;Avant 6h;6
NEZEL-AULNAY;87381731;DIM;2023-11-19;2023;N;N;De 6h à 10h;5
MAISONS-LAFFITTE;87386425;JOB;2022-11-22;2022;A;A;Après 20h;220
CHAVILLE-RIVE-DROITE;87382333;JOB;2016-03-15;2016;U;U;De 10h à 16h;29
NEZEL-AULNAY;87381731;JOB;2023-11-14;2023;N;N;De 10h à 16h;31
MAISONS-LAFFITTE;87386425;JOB;2022-11-22;2022;A;A;De 10h à 16h;598
CHAVILLE-RIVE-DROITE;87382333;JOB;2016-03-17;2016;U;U;De 10h à 16h;57
NOGENT-L'ARTAUD-CHARLY;87116566;SAM;2023-09-16;2023;P;P;De 6h à 10h;98
MAISONS-LAFFITTE;87386425;JOB;2022-11-30;2022;A;A;De 10h à 16h;2009
CHAVILLE-RIVE-DROITE;87382333;JOB;2016-03-22;2016;U;U;De 16h à 20h;287
NOGENT-L'ARTAUD-CHARLY;87116566;JOB;2023-09-19;2023;P;P;De 10h à 16h;126
MAISONS-LAFFITTE;87386425;JOB;2023-11-14;2023;L;L3;Après 20h;145
CHAVILLE-RIVE-DROITE;87382333;JOB;2023-11-14;2023;L;L2;Avant 6h;33
NOGENT-LE-PERREUX;87113746;SAM;2022-03-19;2022;E;E;De 10h à 16h;1365
MAISONS-LAFFITTE;87386425;JOB;2023-11-14;2023;L;L3;De 16h à 20h;322
CHAVILLE-RIVE-GAUCHE;87393207;SAM;2023-11-18;2023;N;N;De 16h à 20h;346
NOGENT-LE-PERREUX;87113746;SAM;2022-03-19;2022;E;E;De 6h à 10h;456
MAISSE;87681486;SAM;2024-02-03;2024;D;D;Avant 6h;2
CHAVILLE-RIVE-GAUCHE;87393207;DIM;2023-11-19;2023;N;N;Après 20h;87
NOGENT-LE-PERREUX;87113746;JOB;2022-03-22;2022;E;E;Avant 6h;65
MAISSE;87681486;SAM;2024-02-03;2024;D;D;De 16h à 20h;47
CHAVILLE-RIVE-GAUCHE;87393207;JOB;2023-11-14;2023;N;N;Avant 6h;28
NOGENT-LE-PERREUX;87113746;JOB;2022-03-22;2022;E;E;De 10h à 16h;1211
MAISSE;87681486;SAM;2024-02-03;2024;D;D;De 6h à 10h;34
CHAVILLE-RIVE-GAUCHE;87393207;JOB;2023-11-14;2023;N;N;De 16h à 20h;366
NOINTEL-MOURS;87276758;SAM;2023-11-18;2023;H;H;Après 20h;17
MAISSE;87681486;JOB;2024-12-03;2024;D;D;Avant 6h;16
CHAVILLE-VELIZY;87393173;DIM;2017-04-23;2017;C;C;Avant 6h;3
NOINTEL-MOURS;87276758;SAM;2023-11-18;2023;H;H;Avant 6h;11
MAISSE;87681486;JOB;2024-12-03;2024;D;D;De 10h à 16h;60
CHAVILLE-VELIZY;87393173;DIM;2017-04-23;2017;C;C;De 10h à 16h;536
NOINTEL-MOURS;87276758;DIM;2023-11-19;2023;H;H;De 16h à 20h;52
MALESHERBES;87684415;SAM;2024-02-03;2024;D;D;Avant 6h;26
CHAVILLE-VELIZY;87393173;DIM;2017-04-23;2017;C;C;De 6h à 10h;111
NOINTEL-MOURS;87276758;JOB;2023-11-14;2023;H;H;Avant 6h;29
MALESHERBES;87684415;JOB;2024-02-04;2024;D;D;Après 20h;0
CHELLES-GOURNAY;87116111;SAM;2022-03-19;2022;E;E;Avant 6h;42
NOINTEL-MOURS;87276758;JOB;2023-11-14;2023;H;H;De 16h à 20h;105
MANTES-LA-JOLIE;87381509;SAM;2021-04-12;2021;J;J5;De 10h à 16h;573
CHELLES-GOURNAY;87116111;JOB;2022-03-22;2022;E;E;Avant 6h;205
NOISY-LE-ROI;87733659;DIM;2023-10-15;2023;T13;T13;Après 20h;16
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;J;J6;De 10h à 16h;641
CHELLES-GOURNAY;87116111;JOB;2022-03-22;2022;E;E;De 6h à 10h;3901
NOISY-LE-SEC;87113217;SAM;2022-03-19;2022;E;E;Avant 6h;308
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;J;J6;De 6h à 10h;316
CHEMIN-D'ANTONY;87546317;SAM;2017-04-22;2017;C;C;Avant 6h;4
NOISY-LE-SEC;87113217;DIM;2022-03-20;2022;E;E;Après 20h;1103
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;N;N;De 10h à 16h;307
CHEMIN-D'ANTONY;87546317;SAM;2017-04-22;2017;C;C;De 16h à 20h;64
NOISY-LE-SEC;87113217;DIM;2022-03-20;2022;E;E;De 6h à 10h;2271
MANTES-LA-JOLIE;87381509;DIM;2021-05-12;2021;J;J5;De 10h à 16h;611
CHEMIN-D'ANTONY;87546317;DIM;2017-04-23;2017;C;C;De 6h à 10h;26
NOISY-LE-SEC;87113217;JOB;2022-03-22;2022;E;E;Après 20h;1367
MANTES-LA-JOLIE;87381509;DIM;2023-11-19;2023;J;J6;De 16h à 20h;607
CHEMIN-D'ANTONY;87546317;JOB;2017-04-25;2017;C;C;De 16h à 20h;215
NOISY-LE-SEC;87113217;JOB;2022-03-22;2022;E;E;Avant 6h;798
MANTES-LA-JOLIE;87381509;DIM;2023-11-19;2023;N;N;De 6h à 10h;96
CHEZY-SUR-MARNE;87116574;SAM;2023-09-16;2023;P;P;De 16h à 20h;26
NOISY-LE-SEC;87113217;JOB;2022-03-22;2022;E;E;De 16h à 20h;7580
MANTES-LA-JOLIE;87381509;JOB;2023-11-14;2023;J;J6;De 6h à 10h;622
CHEZY-SUR-MARNE;87116574;DIM;2023-09-17;2023;P;P;Après 20h;7
NOTRE-DAME-DES-ANGES;87704312;SAM;2021-11-09;2021;T4;T4;De 10h à 16h;289
MANTES-LA-JOLIE;87381509;JOB;2023-11-14;2023;N;N;Avant 6h;82
CHEZY-SUR-MARNE;87116574;JOB;2023-09-19;2023;P;P;De 16h à 20h;20
NOTRE-DAME-DES-ANGES;87704312;JOB;2021-09-21;2021;T4;T4;De 10h à 16h;371
MANTES-STATION;87381590;SAM;2021-04-12;2021;J;J5;Avant 6h;21
CHILLY-MAZARIN;87393637;SAM;2017-04-22;2017;C;C;Avant 6h;9
ORANGIS-BOIS-DE-L'EPINE;87681346;SAM;2024-02-03;2024;D;D;Après 20h;126
MANTES-STATION;87381590;DIM;2021-05-12;2021;J;J5;De 10h à 16h;119
CHILLY-MAZARIN;87393637;JOB;2017-04-25;2017;C;C;Avant 6h;89
ORANGIS-BOIS-DE-L'EPINE;87681346;DIM;2024-03-03;2024;D;D;Avant 6h;24
MANTES-STATION;87381590;DIM;2021-05-12;2021;J;J5;De 6h à 10h;50
CHOISY-LE-ROI;87545285;SAM;2017-04-22;2017;C;C;Après 20h;1798
ORGERUS-BEHOUST;87393447;SAM;2023-11-18;2023;N;N;Après 20h;10
MANTES-STATION;87381590;DIM;2023-11-19;2023;J;J6;Après 20h;18
CHOISY-LE-ROI;87545285;DIM;2017-04-23;2017;C;C;Après 20h;1071
ORGERUS-BEHOUST;87393447;JOB;2023-11-14;2023;N;N;Avant 6h;7
MANTES-STATION;87381590;JOB;2023-11-14;2023;J;J6;Avant 6h;22
CHOISY-LE-ROI;87545285;DIM;2017-04-23;2017;C;C;Avant 6h;79
ORLY-VILLE;87546200;SAM;2017-04-22;2017;C;C;De 6h à 10h;445
MANTES-STATION;87381590;JOB;2023-11-14;2023;J;J6;De 16h à 20h;258
CHOISY-LE-ROI;87545285;JOB;2017-04-25;2017;C;C;Après 20h;1363
ORLY-VILLE;87546200;DIM;2017-04-23;2017;C;C;De 16h à 20h;359
MARCHEZAIS-BROUE;87393470;SAM;2023-11-18;2023;N;N;Après 20h;8
CHOISY-LE-ROI;87545285;JOB;2017-04-25;2017;C;C;De 16h à 20h;6148
ORLY-VILLE;87546200;JOB;2017-04-25;2017;C;C;De 10h à 16h;765
MARCHEZAIS-BROUE;87393470;SAM;2023-11-18;2023;N;N;De 10h à 16h;35
CLAMART;87391565;SAM;2023-11-18;2023;N;N;De 16h à 20h;609
ORLY-VILLE;87546200;JOB;2017-04-25;2017;C;C;De 16h à 20h;565
MARCHEZAIS-BROUE;87393470;JOB;2023-11-14;2023;N;N;Avant 6h;7
CLAMART;87391565;DIM;2023-11-19;2023;N;N;De 10h à 16h;695
ORMOY-VILLERS;87271585;SAM;2023-11-18;2023;K;K;De 10h à 16h;5
MARCHEZAIS-BROUE;87393470;JOB;2023-11-14;2023;N;N;De 10h à 16h;32
CLAMART;87391565;DIM;2023-11-19;2023;N;N;De 16h à 20h;433
ORRY-LA-VILLE-COYE;87276279;DIM;2024-03-03;2024;D;D;De 10h à 16h;148
MAREIL-MARLY;87733667;SAM;2023-10-14;2023;T13;T13;De 6h à 10h;52
CLAMART;87391565;JOB;2023-11-14;2023;N;N;Après 20h;165
ORRY-LA-VILLE-COYE;87276279;JOB;2024-05-03;2024;D;D;De 10h à 16h;117
MAREIL-MARLY;87733667;JOB;2023-10-19;2023;T13;T13;Après 20h;14
CLICHY-LEVALLOIS;87381129;SAM;2023-11-18;2023;L;L2;De 10h à 16h;1421
OSNY;87381145;DIM;2023-11-19;2023;J;J6;De 10h à 16h;139
MAREIL-SUR-MAULDRE;87381715;JOB;2023-11-14;2023;N;N;Après 20h;6
CLICHY-LEVALLOIS;87381129;SAM;2023-11-18;2023;L;L2;De 16h à 20h;1045
OZOIR-LA-FERRIERE;87116020;SAM;2022-03-19;2022;E;E;Après 20h;83
MAREIL-SUR-MAULDRE;87381715;JOB;2023-11-14;2023;N;N;De 6h à 10h;100
CLICHY-LEVALLOIS;87381129;SAM;2023-11-18;2023;L;L3;De 16h à 20h;1602
OZOIR-LA-FERRIERE;87116020;DIM;2022-03-20;2022;E;E;De 16h à 20h;339
MAREUIL-SUR-OURCQ;87116665;DIM;2023-09-17;2023;P;P;De 10h à 16h;28
CLICHY-LEVALLOIS;87381129;DIM;2023-11-19;2023;L;L2;Après 20h;232
PANTIN;87113209;JOB;2022-03-22;2022;E;E;De 10h à 16h;3245
MAREUIL-SUR-OURCQ;87116665;DIM;2023-09-17;2023;P;P;De 16h à 20h;16
CLICHY-LEVALLOIS;87381129;DIM;2023-11-19;2023;L;L2;De 16h à 20h;615
PANTIN;87113209;JOB;2022-03-22;2022;E;E;De 6h à 10h;3026
MARLES-EN-BRIE;87116228;DIM;2023-11-19;2023;P;P;Après 20h;15
CLICHY-LEVALLOIS;87381129;JOB;2023-11-14;2023;L;L2;Avant 6h;59
PARC-DES-EXPOSITIONS;87271486;SAM;2019-03-16;2019;B;B;De 6h à 10h;286
MARLES-EN-BRIE;87116228;JOB;2023-11-14;2023;P;P;Après 20h;12
CLICHY-LEVALLOIS;87381129;JOB;2023-11-14;2023;L;L3;De 16h à 20h;5230
PARC-DES-EXPOSITIONS;87271486;DIM;2019-03-17;2019;B;B;Après 20h;10
MARLY-LE-ROI;87382465;DIM;2023-11-19;2023;L;L2;De 16h à 20h;341
CLICHY-MONTFERMEIL;87704304;SAM;2021-11-09;2021;T4;T4;Avant 6h;3
PARC-DES-EXPOSITIONS;87271486;DIM;2019-03-17;2019;B;B;De 10h à 16h;531
MAROLLES-EN-HUREPOIX;87545186;SAM;2017-04-22;2017;C;C;Avant 6h;23
CLICHY-MONTFERMEIL;87704304;SAM;2021-09-18;2021;T4;T4;De 10h à 16h;103
PARC-DES-EXPOSITIONS;87271486;JOB;2023-05-10;2023;B;B;De 16h à 20h;2725
MAROLLES-EN-HUREPOIX;87545186;SAM;2017-04-22;2017;C;C;De 10h à 16h;250
CLICHY-MONTFERMEIL;87704304;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;275
PARIS-AUSTERLITZ;87547026;SAM;2017-04-22;2017;C;C;Avant 6h;100
MAROLLES-EN-HUREPOIX;87545186;DIM;2017-04-23;2017;C;C;Avant 6h;12
CLICHY-MONTFERMEIL;87704304;DIM;2021-12-09;2021;T4;T4;De 16h à 20h;253
PARIS-AUSTERLITZ;87547026;SAM;2017-04-22;2017;C;C;De 16h à 20h;4655
MAROLLES-EN-HUREPOIX;87545186;DIM;2017-04-23;2017;C;C;De 6h à 10h;63
CLICHY-SOUS-BOIS-MAIRIE;87704288;SAM;2021-09-18;2021;T4;T4;De 10h à 16h;71
PARIS-EST;87113001;SAM;2023-09-16;2023;P;P;Avant 6h;35
MAROLLES-EN-HUREPOIX;87545186;JOB;2017-04-25;2017;C;C;De 16h à 20h;259
CLICHY-SOUS-BOIS-MAIRIE;87704288;JOB;2021-09-21;2021;T4;T4;De 10h à 16h;414
PARIS-EST;87113001;SAM;2023-11-18;2023;P;P;De 6h à 10h;1895
MASSY-PALAISEAU;87393579;SAM;2017-04-22;2017;C;C;De 16h à 20h;787
COIGNIERES;87393272;SAM;2023-11-18;2023;N;N;De 6h à 10h;80
PARIS-EST;87113001;DIM;2023-09-17;2023;P;P;Après 20h;752
MASSY-PALAISEAU;87393579;DIM;2017-04-23;2017;C;C;De 10h à 16h;837
COLOMBES;87381087;SAM;2023-11-18;2023;J;J4;De 10h à 16h;2787
PARIS-EST;87113001;DIM;2023-09-17;2023;P;P;De 6h à 10h;396
MASSY-PALAISEAU;87393579;DIM;2017-04-23;2017;C;C;De 16h à 20h;747
